dtxsid,name,candidate_type,candidate_class,mechanism_annotation,primary_target_route,application_track,followup_route,proxy_support_label,esr1_binding_score,ar_binding_score,max_target_score,review_bucket,followup_action,review_priority,panel_group,followup_target,in_validation_panel,frozen_stage,primary_binding_stack,binding_first_reason,priority_order
DTXSID9047887,Pentylparaben,prospective_positive,Paraben_like,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,esr1_proxy_supported,0.98,0.65,0.98,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True,stage1_binding_first,viability -> ESR1_binding + AR_binding -> ESR1_reporter + AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,4
DTXSID9047885,Nonylparaben,prospective_positive,Paraben_like,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,multi_proxy_supported,0.965,0.925,0.965,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True,stage1_binding_first,viability -> ESR1_binding + AR_binding -> ESR1_reporter + AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,5
DTXSID9047883,Dodecylparaben,prospective_positive,Paraben_like,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,esr1_proxy_supported,0.94,0.895,0.94,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True,stage1_binding_first,viability -> ESR1_binding + AR_binding -> ESR1_reporter + AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,6
DTXSID5051444,"4,4'-(1-Phenylethylidene)bisphenol",prospective_positive,Bisphenol_or_Benzophenone,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,multi_proxy_supported,0.925,0.845,0.925,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True,stage1_binding_first,viability -> ESR1_binding + AR_binding -> ESR1_reporter + AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,7
DTXSID1044514,Hexylparaben,prospective_positive,Paraben_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,ar_proxy_supported,,0.885,0.885,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True,stage1_binding_first,viability -> AR_binding -> AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,8
DTXSID2032421,Lithium perfluorooctanesulfonate,prospective_positive,PFAS_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,proxy_negative,,0.88,0.88,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True,stage1_binding_first,viability -> AR_binding -> AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,9
DTXSID5047904,Methyltrioctylammonium trifluoromethanesulfonate,prospective_positive,PFAS_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,multi_proxy_supported,0.1942444547134935,0.87,0.87,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True,stage1_binding_first,viability -> AR_binding -> AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,10
DTXSID4020749,Isobutylparaben,prospective_positive,Paraben_like,esr1_priority,ESR1,environmental_target_specific,ESR1-focused follow-up,multi_proxy_supported,0.845,0.26,0.845,esr1_environmental_focus,ESR1-focused follow-up; confirm binding then reporter.,2,esr1_environmental,ESR1,True,stage1_binding_first,viability -> ESR1_binding -> ESR1_reporter,High-priority environmental candidate under frozen hybrid shortlist.,11
DTXSID0022808,Chlorpromazine,prospective_positive,Pesticide_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,ar_proxy_supported,0.04,0.8395249695493301,0.8395249695493301,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True,stage1_binding_first,viability -> AR_binding -> AR_reporter,High-priority environmental candidate under frozen hybrid shortlist.,12
DTXSID1022425,"4,4'-Dihydoxybenzophenone",prospective_positive,Bisphenol_or_Benzophenone,esr1_priority,ESR1,environmental_target_specific,ESR1-focused follow-up,multi_proxy_supported,0.825,0.545,0.825,esr1_environmental_focus,ESR1-focused follow-up; confirm binding then reporter.,2,esr1_environmental,ESR1,True,stage1_binding_first,viability -> ESR1_binding -> ESR1_reporter,High-priority environmental candidate under frozen hybrid shortlist.,13
DTXSID4047886,"4′-Hydroxy-2,4-dimethoxybenzophenone",prospective_positive,Bisphenol_or_Benzophenone,esr1_priority,ESR1,frozen_from_validation_stage1,binding_first_prospective_followup,multi_proxy_supported,0.795,0.57,0.795,esr1_environmental,Binding first; move to reporter only after direct binding is observed.,2,esr1_environmental,ESR1,True,stage1_binding_first,viability -> ESR1_binding -> ESR1_reporter,High-priority environmental candidate under frozen hybrid shortlist.,14
DTXSID00190950,6:1 Fluorotelomer alcohol,prospective_positive,PFAS_like,esr1_priority,ESR1,frozen_from_validation_stage1,binding_first_prospective_followup,proxy_negative,0.785,0.1593197674418604,0.785,esr1_environmental,Binding first; move to reporter only after direct binding is observed.,2,esr1_environmental,ESR1,True,stage1_binding_first,viability -> ESR1_binding -> ESR1_reporter,High-priority environmental candidate under frozen hybrid shortlist.,15
